deviceId~2,latitude,longitude,speed~1,reliability~4,satellite,type~4,lock~4,isoDate~9
60C04864,10.76845,106.96519,0.0,0.0,0,1,0,Wed Sep 10 00:00:15 ICT 2014
54Y9073,10.80739,106.66052,0.0,0.0,0,1,0,Wed Sep 10 00:00:21 ICT 2014
93C00428,10.772033,106.58237,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
54X8352,10.844591,106.718,0.0,0.0,0,1,0,Wed Sep 10 00:00:27 ICT 2014
72L3946,10.9093,106.89378,0.0,0.0,0,1,0,Wed Sep 10 00:00:16 ICT 2014
53U1999,10.85135,106.66301,0.0,0.0,0,1,0,Wed Sep 10 00:00:23 ICT 2014
51C11702,10.8074,106.66037,0.0,0.0,0,1,0,Wed Sep 10 00:00:23 ICT 2014
51C14998,10.875303,106.75776,0.0,0.0,0,1,1,Wed Sep 10 00:00:16 ICT 2014
03272,10.914785,106.84518,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
51C39284,10.58294,107.03292,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
51C04809,10.849123,106.58534,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
51A60220,10.73747,106.6387,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
53U1786,10.8358,106.6358,0.0,0.0,0,1,0,Wed Sep 10 00:00:28 ICT 2014
51B00530,11.015126,106.56332,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B00702,10.658763,106.69008,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B00813,10.96029,106.59713,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B01069,10.80327,106.81715,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51B01368,10.988637,106.587746,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B02033,10.792407,106.79809,3.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02095,10.888565,106.58573,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02142,10.9335985,106.55522,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B02201,10.981085,106.617195,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B02212,10.77774,106.7593,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02431,10.870472,106.76391,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02444,10.631108,106.73421,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02474,10.78043,106.77001,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02480,10.953676,106.61204,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02556,10.789977,106.75707,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02560,10.778129,106.76876,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02561,10.790085,106.75693,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B02671,10.68854,106.684296,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02696,10.791505,106.74889,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B02806,10.841023,106.59948,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B02895,10.840718,106.59921,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B03234,10.781158,106.771515,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B03590,10.766193,106.696945,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B03591,10.877563,106.73176,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B03770,10.816628,106.808945,0.0,0.0,0,1,0,Wed Sep 10 00:00:02 ICT 2014
51B04178,10.976992,106.504585,0.0,0.0,0,1,0,Wed Sep 10 00:00:00 ICT 2014
51B04187,10.947725,106.53783,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
51B04364,10.957704,106.836395,0.0,0.0,0,1,0,Wed Sep 10 00:00:01 ICT 2014
